time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
79150,3.890578,6.265626,6.470330,0.244080,0.225694,0.248609
79250,5.555745,6.208165,6.257246,0.376245,0.329614,0.330413
79450,1.474828,8.548497,5.351041,0.309363,1.206542,0.673084
79650,3.008314,7.155072,6.166266,0.105786,0.503081,0.382907
79750,3.806781,7.524976,3.734955,-0.073810,0.578224,0.254205
79850,4.124012,7.513005,5.442020,-0.290711,0.129501,0.120175
79950,4.950012,7.726089,4.505888,0.156413,0.175599,0.244613
80050,2.907758,7.224504,7.621941,-0.014655,-0.464977,0.111648
80150,3.177106,7.696161,7.740454,0.419412,-0.481764,0.030110
80250,3.043030,5.799953,6.706159,0.439130,0.883856,0.301369
80350,2.719813,7.332242,5.467160,0.274989,0.051960,0.118043
80450,4.085705,6.754043,4.993108,0.379443,0.172401,0.132432
80550,4.471172,7.012617,6.313510,0.511075,0.290178,0.180129
80650,3.877410,7.173028,6.069301,0.463378,0.777804,0.242747
80750,2.159570,8.610746,7.412448,0.606469,0.864671,0.403691
80850,3.269282,7.308300,3.235764,0.266462,0.316025,0.036239
81050,1.088165,8.990228,5.213374,0.289112,0.544383,0.179862
81150,1.783680,8.722076,4.899734,0.274190,0.466576,0.214236
81250,1.412579,8.318654,4.712986,0.233155,0.502548,0.231556
81350,1.357512,8.893262,5.151125,0.183593,0.436732,0.239816
81450,2.097321,8.601170,4.806360,0.151084,0.387969,0.438064
81550,2.610877,8.220491,4.844667,0.211305,0.573694,0.578490
81750,2.905364,8.250419,4.031836,0.164940,0.819372,0.893715
81950,3.086126,9.184157,4.680665,0.087933,0.859874,1.062652
82050,3.086126,7.437588,4.782418,0.495887,0.779669,0.984579
82150,4.282030,6.303933,6.631939,0.464178,0.447124,0.825767
82250,3.909731,7.425617,6.449979,0.645372,0.926490,0.820704
82350,4.286818,6.702568,5.934029,0.626720,0.761816,0.624322
82451,4.145560,7.513005,4.927267,0.599274,0.857210,0.641109
82550,3.979163,7.286753,5.139154,0.492956,0.778870,0.515338
82650,4.380192,7.246051,4.829105,0.451654,0.644040,0.412217
82750,5.036203,7.006631,5.681441,0.303234,0.679479,0.401026
82850,3.084929,9.968259,6.367379,0.552377,0.548380,0.354395
82950,4.133589,5.786786,7.426814,0.116444,-0.083136,0.145489
83050,2.184709,8.692149,3.044227,0.160144,0.760750,0.380242
83150,2.396596,7.669825,5.833472,0.268861,0.240083,0.334410
83250,3.128025,7.812280,4.940435,0.191320,0.631516,0.361323
83350,2.335544,8.016984,4.545392,-0.051427,0.853746,0.348533
83450,4.224569,7.205350,4.237737,-0.171069,0.144156,0.124704
83550,3.623624,8.240842,4.450821,-0.003730,0.460714,0.375179
83750,1.414973,7.570466,7.900866,0.538254,-0.351464,0.298704
83950,3.422511,6.732495,4.029441,0.183859,0.493222,0.264331
84050,3.539827,7.096414,5.236119,0.288579,0.181461,0.177730
84150,4.292804,6.602011,4.826711,0.226493,0.216634,0.170270
84250,5.509058,7.269993,4.355053,0.227559,0.387703,0.236885
84350,1.914164,10.250774,7.562086,0.155881,0.395697,0.354395
84450,1.657985,8.316259,6.604405,0.016787,0.443127,0.398628
84550,3.365051,8.438364,3.056198,0.247810,0.668021,0.298172
84650,2.159570,7.442376,5.136760,0.231556,0.575559,0.263531
84750,3.572149,7.947553,4.448427,0.062619,0.771409,0.160677
84850,3.065775,8.513782,3.712210,-0.066083,0.338407,0.254472
84950,3.609259,8.169016,4.850653,-0.305366,0.167072,0.197982
85150,0.208296,7.059304,10.432734,0.650435,-0.906772,0.118576
85350,3.508703,6.757634,3.083732,0.057822,0.328015,0.183060
85450,3.610456,6.640318,5.874174,0.245678,0.073011,0.232089
85550,4.291606,6.848614,4.569334,0.195317,0.091130,0.110582
85650,4.497508,7.326257,5.521029,0.166806,0.335743,0.169470
85750,4.973954,8.389283,7.208941,0.308031,0.224628,0.222496
85850,5.833472,6.877345,3.446453,0.220098,-0.365320,-0.028778
85950,1.555034,9.331401,4.508282,0.158012,0.914233,0.262732
86050,3.021482,7.180211,5.764040,0.148953,0.131899,0.138560
86150,3.336320,7.858967,4.353856,-0.023449,0.463112,0.236086
86350,4.102465,7.989451,4.152743,-0.286980,0.007727,0.031443
86550,0.839168,6.364985,9.837775,0.550511,-0.948606,-0.101522
86651,5.185841,6.824672,8.526949,0.105519,-0.469240,-0.095127
86750,3.430891,6.962338,3.567361,0.020251,0.506012,0.085268
86850,3.719392,6.323087,5.956774,0.092995,-0.132432,-0.091663
86950,4.527435,6.471527,4.565742,0.203044,0.060487,-0.082070
87050,4.064157,7.101202,6.163872,0.078606,0.217700,0.014123
87150,5.991490,7.575254,7.603985,0.211838,-0.200380,0.039170
87250,4.869806,6.792350,4.161122,0.101522,-0.403158,-0.098325
87350,0.857124,8.944737,4.167108,0.138028,0.893182,0.153749
87450,2.308010,7.272388,5.673061,0.058355,-0.416214,0.085268
87550,3.141193,7.216124,5.257667,-0.108450,0.265397,0.134031
87650,3.439271,7.287950,4.262876,-0.286181,0.185724,0.029577
87750,3.995923,8.061277,4.976348,-0.293642,-0.110848,-0.002931
87850,4.750096,8.483853,3.950433,-0.101789,-0.317090,0.042101
87950,1.795651,6.071695,8.437167,0.132165,-0.895580,-0.051427
88050,4.347870,7.286753,7.454347,0.108450,-0.570496,-0.251807
88150,3.156755,6.329072,4.280833,0.163342,0.519868,0.083403
88250,3.476381,6.281188,6.173449,0.129767,-0.238750,-0.067415
88350,4.301183,6.376956,4.313154,0.288579,-0.058355,-0.055424
88450,4.587290,6.930017,6.849811,0.123106,0.185458,0.037838
88550,6.242881,7.061698,4.884171,0.211305,-0.265397,-0.020251
88650,4.163517,8.134300,4.450821,0.048230,-0.120708,0.038904
88750,1.411382,8.754398,5.275623,0.135363,0.580355,0.119908
88850,2.788048,7.267599,5.096058,0.085002,-0.005862,0.110049
88950,3.293224,7.273585,5.212177,-0.077807,0.269660,0.175332
89050,3.578135,7.032968,4.242526,-0.252340,0.476168,0.115112
89150,3.985149,7.975086,4.623203,-0.327216,-0.036239,0.042101
89250,4.894945,8.768764,3.785233,-0.011991,-0.269394,0.110049
89350,1.306037,5.911284,9.191340,0.106052,-0.921694,-0.025847
89450,4.698621,7.433996,7.729680,0.108184,-0.558772,-0.225960
89550,3.379416,6.335058,4.314352,0.230224,0.686407,0.145755
89650,3.393781,6.404490,5.894525,0.213703,-0.144423,0.013856
89750,4.248511,6.645107,4.485537,0.281384,0.145755,0.043167
89850,3.985149,7.390901,6.458359,0.066616,0.135629,0.023715
89950,5.946000,7.141904,5.961562,0.252606,-0.134031,0.039170
90050,4.533421,8.579621,3.192668,0.092196,-0.055424,-0.278986
