time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
42353,1.423353,2.756923,9.386468,-0.124438,0.042634,0.411685
42453,-0.164003,2.701857,9.160215,-0.144156,0.210239,0.167338
42553,0.940921,2.476802,9.498995,-0.154015,0.130833,-0.606469
42653,-0.460884,3.537433,9.850943,0.024248,0.015188,-0.781534
42753,-0.963666,2.076970,8.498219,0.255538,0.084469,-0.645639
42853,-1.127669,1.276109,9.781511,0.078074,0.066882,-0.451920
42953,-1.738190,0.598550,9.964667,0.070346,-0.047697,-0.554508
43053,-1.278504,1.605312,8.925584,-0.055691,-0.074343,-0.495354
43153,-0.785298,2.121263,9.691729,0.244080,-0.162809,-0.462312
43253,-0.690727,1.261744,9.625888,0.084469,-0.139626,-0.211571
43353,-0.912191,2.193089,9.193734,0.123106,-0.282450,-0.055957
43453,-1.361104,1.953669,9.799467,0.023449,-0.341072,-0.310162
43553,-1.691504,2.517503,8.856153,0.297372,-0.299770,-0.761017
43653,-1.326388,2.151190,9.600749,0.157479,-0.318156,-1.061320
43853,-0.141258,2.943671,7.875727,0.340273,-0.303501,-1.475136
43953,0.478840,2.369063,8.602366,0.436199,-0.172934,-0.929421
44053,1.076194,2.810793,9.332599,0.260600,-0.030643,-0.363188
44153,0.331597,2.742558,7.711724,0.564101,0.249409,0.504946
44253,-0.426168,2.157176,7.740454,0.586217,0.566233,1.017887
44353,-1.207875,3.296816,9.218874,-0.011724,0.610466,1.210273
44453,-1.868674,2.912546,11.627440,-0.512407,0.427939,0.969391
44553,-2.096124,3.290830,18.666393,-1.241982,-0.164407,1.014423
44653,-3.517082,5.932832,19.612701,-1.333645,-0.238217,0.888386
44753,-2.519897,2.267309,5.503073,0.893182,1.227593,0.540119
44853,2.549825,0.648829,-3.592500,-0.594744,-0.593412,0.070879
44953,-0.068235,3.059790,-1.777695,0.118309,-0.239550,0.411951
45053,-2.140416,-0.360327,2.381034,0.650168,0.209972,0.587550
45153,0.554258,2.973598,19.612701,-1.940646,0.721847,0.535590
45253,3.235764,2.975993,19.612701,-0.149219,0.182260,0.486294
45353,-0.821211,3.804387,8.831013,0.578490,-0.523332,0.044499
45454,-0.875081,-0.108936,4.617218,0.234487,-0.247544,0.110848
45553,-1.626860,1.677138,8.402451,-0.094061,-0.353862,-0.058089
45653,-0.292093,2.928109,12.773067,-0.110582,-0.148153,-0.219032
45753,0.129287,1.325191,7.274782,0.079672,-0.273124,0.159877
45953,-0.277727,2.224213,8.566454,-0.036505,0.424741,-0.078873
46053,-0.336385,0.837971,7.930793,0.123905,0.392233,-0.408753
46153,-0.244209,2.005144,7.539341,-0.123372,0.594744,-0.522266
46253,0.636858,1.300052,12.059594,-0.636579,0.364254,-0.290178
46353,-1.083376,2.861071,16.496050,-0.928622,-0.153482,0.253939
46453,-1.069011,2.264915,19.612701,-0.614196,-1.102622,0.166006
46653,-2.974796,1.138443,0.548272,1.242515,0.258202,0.349066
46753,-1.604115,-1.896208,0.079009,0.925691,0.670420,0.104986
46853,1.519121,-0.251391,1.122881,0.170270,0.403691,-0.492423
46953,-2.883816,2.546233,7.603985,0.086867,-0.565167,0.025047
47053,-7.954735,4.425682,19.612701,0.082603,-0.489492,-0.270992
47153,-1.628057,-1.435324,15.005659,0.424741,0.060221,0.400760
47253,-2.971204,-0.324414,8.708909,-0.105786,0.212904,-0.186257
47353,0.268151,1.289278,6.343437,-0.222763,0.085534,-0.244879
47453,-0.846350,0.287304,9.227253,-0.006395,-0.094061,0.087400
47553,-1.290475,-0.114922,9.169792,-0.325351,-0.388236,-0.214236
47653,-1.502362,0.466869,9.548077,0.058355,-0.442061,-0.230224
47753,-1.006762,0.372298,9.203311,-0.046897,-0.390634,-0.444459
47853,0.207098,0.572214,9.496601,0.043966,-0.268061,-0.224361
47953,0.039504,1.356315,9.259575,0.090864,-0.233421,-0.152949
48053,0.222661,1.345541,9.331401,0.140692,-0.139626,-0.012790
48253,0.623690,1.586159,9.576807,0.461779,-0.045832,0.276322
48353,0.950498,1.735796,9.725247,0.193985,0.135629,0.436466
48453,1.131260,2.110489,9.570822,0.206508,0.023182,0.467908
48553,1.092953,2.298434,9.348161,0.090597,-0.026646,0.581155
48653,0.903811,2.196680,9.470264,-0.012790,0.062352,0.626453
48753,1.420959,2.541445,9.689334,-0.093262,0.177997,0.741832
48853,1.295263,1.805228,9.747993,-0.329081,0.122839,0.690937
48953,1.170765,3.019088,10.433931,-0.225161,-0.239550,0.522799
49053,-0.782904,1.163582,9.510966,-0.331746,-0.069813,0.644040
49153,-0.986411,0.428562,9.548077,-0.188655,0.085801,0.721580
49253,-0.930147,-0.316035,9.804255,0.048230,-0.004263,0.432202
49353,-0.420182,-0.027533,9.388862,-0.226760,0.071412,0.195051
49453,0.858321,0.293290,9.692925,-0.174000,-0.038904,0.224361
49553,0.800860,-0.073023,9.180567,-0.068481,-0.085801,0.406622
49653,0.354342,-0.114922,9.805453,-0.041835,-0.147354,0.516671
49754,0.521936,-0.803255,9.437943,0.031176,-0.132698,0.448456
49853,0.395043,-0.333991,9.537302,-0.015455,-0.082337,0.448989
49953,0.679953,-0.964863,9.665392,0.068214,0.096992,0.445792
50053,0.814029,-0.806846,9.690532,0.216634,0.097525,0.460181
50153,0.222661,-0.140061,9.520543,0.270459,0.266729,0.686407
50353,-0.459687,1.288081,9.244013,0.256603,0.003464,0.804450
50453,-0.870292,2.723404,10.083180,0.047963,-0.228891,0.284848
50553,0.432153,1.981202,9.072827,0.540386,-0.250208,0.244346
50653,-0.290895,1.653196,9.674969,0.143090,-0.682410,0.026913
50753,-0.007183,1.799243,9.500193,0.142291,-0.384772,-0.280585
50853,0.178368,2.193089,9.458294,0.009326,-0.431136,-0.584619
50953,0.685939,2.583344,9.203311,0.167072,-0.356260,-0.958732
51053,-0.418985,1.713051,10.206482,0.088732,-0.155081,-1.565201
51253,0.981623,2.788048,9.617508,-0.132965,-0.123372,-1.811945
51353,-0.502782,2.683900,9.038112,-0.318689,-0.374913,-1.737069
51453,-0.757765,1.490391,9.101558,0.180129,-0.051427,-2.000867
51553,1.343147,1.479617,9.946711,-0.232355,-0.080472,-1.314726
51653,1.792060,2.219425,8.171411,0.120974,0.080205,-0.810312
51753,1.356315,1.039083,8.328231,1.109816,0.037571,-0.525198
51853,0.125696,-0.562637,9.934740,-0.039969,-0.068747,-0.260067
51953,-1.120486,2.068590,8.633492,0.309363,0.380508,-0.551577
52053,-3.418920,0.888249,10.764331,-0.329614,0.691204,-1.005363
52153,-4.261679,5.700594,10.034100,-0.802585,0.887320,-0.441795
52253,-2.177526,4.210204,8.949526,0.561170,0.984046,0.310695
52353,-3.353080,2.449268,7.906851,0.117776,0.156680,-0.073810
52453,-4.656722,3.709816,7.819463,0.192652,0.195317,0.128435
52553,-4.793192,2.817975,7.984663,0.298172,0.253672,0.261400
52653,-5.154716,3.253720,8.024167,-0.143890,0.100989,0.340539
52753,-4.833893,3.234566,7.818265,0.086067,0.249142,0.323485
52853,-4.167108,3.050213,8.373720,0.035173,0.177464,0.219565
52953,-4.610035,2.736573,7.533356,-0.183060,-0.006928,0.283783
53153,-4.714183,2.833538,7.939173,-0.220098,0.051427,0.439930
53253,-5.137957,3.251326,7.556100,-0.243813,0.139360,0.261400
53353,-4.775235,3.160346,7.964312,-0.139893,-0.019185,0.104986
53453,-4.387374,3.167529,7.721301,-0.073277,-0.086600,0.092729
53553,-4.516662,2.922123,7.910442,0.166806,-0.046631,0.111648
53753,-4.614824,3.031059,7.948750,0.003464,-0.064750,-0.045299
53853,-4.519056,2.814384,7.864953,0.039969,-0.090597,0.026913
53953,-4.432865,3.001132,8.163031,-0.014922,-0.064484,0.024515
54053,-4.665102,3.001132,7.739257,0.104986,-0.012790,0.033308
