Epoch_TimeStamp,temperature
1678018200000,27.313
1678018260000,25.25
1678018320000,23.313
1678018380000,21.938
1678018440000,21.125
1678018500000,20.313
1678018560000,19.875
1678018620000,19.5
1678018680000,19.25
1678018740000,19.063
1678018800000,18.938
1678018860000,18.875
1678018920000,18.813
1678018980000,18.75
1678019040000,18.688
1678019100000,18.688
1678019160000,18.563
1678019220000,18.5
1678019280000,18.438
1678019340000,18.5
1678019400000,18.375
1678019460000,18.375
1678019520000,18.313
1678019580000,18.375
1678019640000,18.375
1678019700000,18.313
1678019760000,18.313
1678019820000,18.25
1678019880000,18.188
1678019940000,18.188
1678020000000,18.313
1678020060000,18.438
1678020120000,18.563
1678020180000,18.688
1678020240000,18.625
1678020300000,18.813
1678020360000,18.625
1678020420000,18.563
1678020480000,18.625
1678020540000,18.5
1678020600000,18.438
1678020660000,18.813
1678020720000,19.313
1678020780000,19.688
1678020840000,20
1678020900000,20.25
1678020960000,20.438
1678021020000,20.625
1678021080000,20.75
1678021140000,20.875
1678021200000,21
1678021260000,21.063
1678021320000,21.125
1678021380000,21.188
1678021440000,21.188
1678021500000,21.25
1678021560000,21.25
1678021620000,21.313
1678021680000,21.313
1678021740000,21.438
1678021800000,21.438
1678021860000,21.438
1678021920000,21.375
1678021980000,21.375
1678022040000,21.375
1678022100000,21.5
1678022160000,21.563
1678022220000,21.563
1678022280000,21.625
1678022340000,21.688
1678022400000,21.688
1678022460000,21.688
1678022520000,21.688
1678022580000,21.688
1678022640000,21.75
1678022700000,21.75
1678022760000,21.75
1678022820000,21.688
1678022880000,21.813
1678022940000,21.813
1678023000000,21.875
1678023060000,21.938
1678023120000,21.875
1678023180000,21.813
1678023240000,21.688
1678023300000,21.688
1678023360000,21.688
1678023420000,21.688
1678023480000,21.625
1678023540000,21.688
1678023600000,21.688
1678023660000,21.688
1678023720000,21.625
1678023780000,21.75
1678023840000,21.875
1678023900000,21.875
1678023960000,21.875
1678024020000,21.813
1678024080000,21.75
1678024140000,21.75
1678024200000,21.75
1678024260000,21.688
1678024320000,21.688
1678024380000,21.75
1678024440000,21.75
1678024500000,21.75
1678024560000,21.813
1678024620000,21.875
1678024680000,22.063
1678024740000,22.125
1678024800000,22.188
1678024860000,22.125
1678024920000,22.188
1678024980000,22.125
1678025040000,22.063
1678025100000,22.063
1678025160000,22.125
1678025220000,22.063
1678025280000,22.063
1678025340000,22.063
1678025400000,22.063
1678025460000,22.063
1678025520000,22
1678025580000,22
1678025640000,22
1678025700000,22
1678025760000,22
1678025820000,21.938
1678025880000,21.938
1678025940000,22
1678026000000,22
1678026060000,22
1678026120000,22
1678026180000,22.063
1678026240000,21.938
1678026300000,22
1678026360000,22.063
1678026420000,22.063
1678026480000,22
1678026540000,22
1678026600000,22
1678026660000,22
1678026720000,22.063
1678026780000,22.063
1678026840000,22
1678026900000,22
1678026960000,21.938
1678027020000,21.813
1678027080000,21.625
1678027140000,21.688
1678027200000,21.625
1678027260000,21.563
1678027320000,21.5
1678027380000,21.438
1678027440000,21.438
1678027500000,21.438
1678027560000,21.438
1678027620000,21.438
1678027680000,21.375
1678027740000,21.375
1678027800000,21.313
1678027860000,21.313
1678027920000,21.313
1678027980000,21.25
1678028040000,21.25
1678028100000,21.313
1678028160000,21.313
1678028220000,21.313
1678028280000,21.313
1678028340000,21.25
1678028400000,21.25
1678028460000,21.25
1678028520000,21.188
1678028580000,21.188
1678028640000,21.188
1678028700000,21.188
1678028760000,21.188
1678028820000,21.188
1678028880000,21.188
1678028940000,21.188
1678029000000,21.188
1678029060000,21.188
1678029120000,21.125
1678029180000,21.125
1678029240000,21.125
1678029300000,21.125
1678029360000,21.125
1678029420000,21.125
1678029480000,21.125
1678029540000,21.188
1678029600000,21.125
1678029660000,21.125
1678029720000,21.125
1678029780000,21.063
1678029840000,21.125
1678029900000,21.125
1678029960000,21.125
1678030020000,21.125
1678030080000,21.125
1678030140000,21.125
1678030200000,21.125
1678030260000,21.125
1678030320000,21.125
1678030380000,21.063
1678030440000,21.125
1678030500000,21.063
1678030560000,21.063
1678030620000,21.063
1678030680000,21.063
1678030740000,21.063
1678030800000,21.063
1678030860000,21.063
1678030920000,21.063
1678030980000,21
1678031040000,21.125
1678031100000,21.063
1678031160000,21.063
1678031220000,21.063
1678031280000,21.125
1678031340000,21.125
1678031400000,21.063
1678031460000,21.063
1678031520000,21
1678031580000,21
1678031640000,21
1678031700000,21
1678031760000,21.063
1678031820000,21
1678031880000,21
1678031940000,21
1678032000000,21
1678032060000,21
1678032120000,21
1678032180000,21
1678032240000,21
1678032300000,20.938
1678032360000,20.938
1678032420000,21
1678032480000,21
1678032540000,21
1678032600000,21
1678032660000,21
1678032720000,21
1678032780000,21
1678032840000,21
1678032900000,21.063
1678032960000,21.063
1678033020000,21.063
1678033080000,21
1678033140000,21
1678033200000,20.938
1678033260000,21
1678033320000,21
1678033380000,21
1678033440000,21
1678033500000,21
1678033560000,21
1678033620000,21.063
1678033680000,21.188
1678033740000,21.313
1678033800000,21.438
1678033860000,21.563
1678033920000,21.625
1678033980000,21.625
1678034040000,21.625
1678034100000,21.625
1678034160000,21.625
1678034220000,21.625
1678034280000,21.625
1678034340000,21.625
1678034400000,21.625
1678034460000,21.625
1678034520000,21.688
1678034580000,21.688
1678034640000,21.688
1678034700000,21.625
1678034760000,21.688
1678034820000,21.75
1678034880000,21.688
1678034940000,21.813
1678035000000,21.75
1678035060000,21.75
1678035120000,21.75
1678035180000,21.813
1678035240000,21.813
1678035300000,21.813
1678035360000,21.813
1678035420000,21.875
1678035480000,21.813
1678035540000,21.875
1678035600000,21.813
1678035660000,21.875
1678035720000,21.875
1678035780000,21.875
1678035840000,21.813
1678035900000,21.875
1678035960000,21.875
1678036020000,21.875
1678036080000,21.938
1678036140000,22
1678036200000,21.938
1678036260000,22
1678036320000,22
1678036380000,22
1678036440000,22
1678036500000,21.938
1678036560000,21.938
1678036620000,21.875
1678036680000,21.938
1678036740000,21.938
1678036800000,21.938
1678036860000,21.938
1678036920000,21.938
1678036980000,21.938
1678037040000,21.938
1678037100000,21.938
1678037160000,21.938
1678037220000,21.938
1678037280000,21.938
1678037340000,21.938
1678037400000,21.938
1678037460000,21.938
1678037520000,21.938
1678037580000,21.938
1678037640000,22
1678037700000,22
1678037760000,21.938
1678037820000,22
1678037880000,22
1678037940000,22
1678038000000,22
1678038060000,22
1678038120000,22
1678038180000,22
1678038240000,22
1678038300000,22
1678038360000,22
1678038420000,22
1678038480000,22
1678038540000,22
1678038600000,22
1678038660000,22.063
1678038720000,22.063
1678038780000,22
1678038840000,22.063
1678038900000,22.125
1678038960000,22.125
1678039020000,22.125
1678039080000,22.125
1678039140000,22.125
1678039200000,22.063
1678039260000,22.188
1678039320000,22.188
1678039380000,22.25
1678039440000,22.25
1678039500000,22.188
1678039560000,22.188
1678039620000,22.125
1678039680000,22.125
1678039740000,22.125
1678039800000,22.125
1678039860000,22.125
1678039920000,22.188
1678039980000,22.188
1678040040000,22.188
1678040100000,22.188
1678040160000,22.188
1678040220000,22.125
1678040280000,22.188
1678040340000,22.188
1678040400000,22.125
1678040460000,22.188
1678040520000,22.188
1678040580000,22.125
1678040640000,22.125
1678040700000,22.188
1678040760000,22.125
1678040820000,22.125
1678040880000,22.25
1678040940000,22.188
1678041000000,22.188
1678041060000,22.125
1678041120000,22.125
1678041180000,22.188
1678041240000,22.188
1678041300000,22.188
1678041360000,22.188
1678041420000,22.188
1678041480000,22.188
1678041540000,22.125
1678041600000,22.125
1678041660000,22.125
1678041720000,22.125
1678041780000,22.125
1678041840000,22.125
1678041900000,22
1678041960000,22.125
1678042020000,22.063
1678042080000,22.063
1678042140000,22.125
1678042200000,22.063
1678042260000,22.125
1678042320000,22.063
1678042380000,22.063
1678042440000,22
1678042500000,22.063
1678042560000,22.063
1678042620000,22.063
1678042680000,22.125
1678042740000,22.125
1678042800000,22.125
1678042860000,22.125
1678042920000,22.125
1678042980000,22.125
1678043040000,22.125
1678043100000,22.125
1678043160000,22.25
1678043220000,22.375
1678043280000,22.438
1678043340000,22.438
1678043400000,22.5
1678043460000,22.438
1678043520000,22.375
1678043580000,22.375
1678043640000,22.313
1678043700000,22.375
1678043760000,22.375
1678043820000,22.438
1678043880000,22.438
1678043940000,22.5
1678044000000,22.438
1678044060000,22.563
1678044120000,22.625
1678044180000,22.625
1678044240000,22.688
1678044300000,22.75
1678044360000,22.75
1678044420000,22.875
1678044480000,22.938
1678044540000,22.938
1678044600000,23.063
1678044660000,23.063
1678044720000,23.063
1678044780000,23.063
1678044840000,23.063
1678044900000,23.063
1678044960000,23.063
1678045020000,23.063
1678045080000,23.063
1678045140000,23.125
1678045200000,23
1678045260000,23
1678045320000,22.938
1678045380000,23
1678045440000,22.938
1678045500000,22.938
1678045560000,23
1678045620000,22.938
1678045680000,22.938
1678045740000,22.938
1678045800000,22.813
1678045860000,22.875
1678045920000,22.938
1678045980000,22.938
1678046040000,23
1678046100000,23
1678046160000,23
1678046220000,23
1678046280000,23
1678046340000,23.063
1678046400000,23
1678046460000,22.938
1678046520000,22.938
1678046580000,22.938
1678046640000,22.938
1678046700000,23
1678046760000,23
1678046820000,23
1678046880000,22.938
1678046940000,23
1678047000000,23
1678047060000,22.938
1678047120000,22.938
1678047180000,22.938
1678047240000,22.875
1678047300000,22.938
1678047360000,22.938
1678047420000,22.938
1678047480000,23
1678047540000,22.938
1678047600000,23
1678047660000,23.063
1678047720000,23.063
1678047780000,23.063
1678047840000,23.063
1678047900000,23.063
1678047960000,23.063
1678048020000,23.188
1678048080000,23.188
1678048140000,23.25
1678048200000,23.313
